20201_ART.html,ART       1A,L&S,5.0,Optional,T R,12:30pm - 1:45pm,BUCHN1920,59 / 100
20201_ART.html,ART       1A,L&S,5.0,Optional,W,10:00am - 10:50am,ARTS 1344,10 / 25
20201_ART.html,ART       1A,L&S,5.0,Optional,T,2:00pm - 2:50pm,ARTS 1344,25 / 25
20201_ART.html,ART       1A,L&S,5.0,Optional,W,11:00am - 11:50am,ARTS 1344,11 / 25
20201_ART.html,ART       1A,L&S,5.0,Optional,T,3:00pm - 3:50pm,ARTS 1344,13 / 25
20201_ART.html,ART       7C,L&S,5.0,Optional,T,3:30pm - 4:45pm,PSYCH1902,67 / 75
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,9:00 am - 10:50am,ARTS 1345,19 / 24
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,9:00 am - 10:50am,ARTS 0645,19 / 24
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,1:00pm - 2:50pm,ARTS 1345,23 / 23
20201_ART.html,ART       7C,L&S,5.0,Optional,M W,1:00pm - 2:50pm,ARTS 0645,23 / 23
20201_ART.html,ART       7C,L&S,5.0,Optional,T R,1:00pm - 2:50pm,ARTS 1345,25 / 25
20201_ART.html,ART       7C,L&S,5.0,Optional,T R,1:00pm - 2:50pm,ARTS 0645,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,R,3:30pm - 4:45pm,BUCHN1940,95 / 100
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,11:00am - 12:50pm,ARTS 1345,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,11:00am - 12:50pm,ARTS 2220,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,3:00pm - 4:50pm,ARTS 1345,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,3:00pm - 4:50pm,ARTS 2220,25 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,T R,9:00 am - 10:50am,ARTS 1345,26 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,T R,9:00 am - 10:50am,ARTS 2220,26 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,5:00pm - 6:50pm,ARTS 1345,19 / 25
20201_ART.html,ART       7D,L&S,5.0,Optional,M W,5:00pm - 6:50pm,ARTS 2220,19 / 25
20201_ART.html,ART      10,L&S,4.0,Letter,M W,9:00 am - 11:50am,ARTS 2628,17 / 18
20201_ART.html,ART      14,L&S,4.0,Optional,T R,9:00 am - 11:50am,ARTS 2235,17 / 17
20201_ART.html,ART      18,L&S,4.0,Optional,M W,9:00 am - 11:50am,ARTS 2636,18 / 18
20201_ART.html,ART      19,L&S,4.0,Optional,T R,12:00pm - 2:20pm,ARTS 1237,20 / 23
20201_ART.html,ART      22,L&S,4.0,Optional,T R,12:00pm - 2:50pm,ARTS 2220,16 / 21
20201_ART.html,ART     100,L&S,4.0,Optional,T R,1:00pm - 2:50pm,ARTS 2422,20 / 20
20201_ART.html,ART     101,L&S,4.0,Optional,W,1:00pm - 3:50pm,ARTS 2432,12 / 11
20201_ART.html,ART  CS 101,CRST,1.0 - 6.0,Pass/No Pass,M,9:00 am - 12:50pm,CRST 120,10 / 10
20201_ART.html,ART  CS 104,CRST,1.0 - 6.0,Pass/No Pass,W,1:00pm - 4:20pm,CRST 107,10 / 10
20201_ART.html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,5:00pm - 8:50pm,CRST 107,0 / 10
